id,source,source_name,target,target_name,type,confidence,source_id,evidence_title,evidence_url,evidence_strength,review_status,review_note,note
rel_22,anthropic,Anthropic,perplexity,Perplexity,supplies_to,0.65,src_manual,Perplexity AI product index references Claude model choices,https://en.wikipedia.org/wiki/Perplexity_AI,third_party_index,reviewed_evidence_backed,,AI 搜索应用可接入多家模型。
rel_23,openai,OpenAI,elevenlabs,ElevenLabs,competes_with,0.45,src_manual,OpenAI text-to-speech documentation,https://platform.openai.com/docs/guides/text-to-speech,official_product_overlap,reviewed_evidence_backed,,多模态语音能力存在部分竞争，需要细分产品验证。
rel_24,midjourney,Midjourney,openai,OpenAI,competes_with,0.55,src_manual,OpenAI image generation documentation,https://platform.openai.com/docs/guides/image-generation,official_product_overlap,reviewed_evidence_backed,,图像生成产品与多模态模型存在应用层竞争。
rel_25,sequoia,Sequoia Capital,huggingface,Hugging Face,invested_in,0.7,src_manual,Hugging Face company page,https://sequoiacap.com/companies/hugging-face/,official_docs,reviewed_evidence_backed,,公开 portfolio 和融资信息需后续 worker 校验。
rel_26,a16z,a16z,cursor,Cursor,invested_in,0.7,src_manual,,,,,,公开融资信息需后续 worker 校验。
rel_27,a16z,a16z,mistral,Mistral AI,invested_in,0.7,src_manual,,,,,,公开融资信息需后续 worker 校验。
rel_28,aws,AWS,anthropic,Anthropic,invested_in,0.8,src_manual,Amazon and Anthropic deepen strategic collaboration,https://www.aboutamazon.com/news/company-news/amazon-aws-anthropic-ai,official_docs,reviewed_evidence_backed,,AWS/Anthropic 公开战略合作和投资关系。
rel_29,azure,Microsoft Azure,openai,OpenAI,invested_in,0.85,src_manual,Microsoft and OpenAI partnership overview,https://news.microsoft.com/source/features/ai/microsoft-openai-partnership/,official_docs,reviewed_evidence_backed,,Microsoft/OpenAI 公开投资和商业合作关系。
p1_rel_1,asml,ASML,sk_hynix,SK Hynix,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_2,asml,ASML,samsung,Samsung Electronics,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_3,asml,ASML,micron,Micron,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_4,asml,ASML,ase,ASE Technology,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_5,applied_materials,Applied Materials,tsmc,TSMC,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_6,applied_materials,Applied Materials,sk_hynix,SK Hynix,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_7,applied_materials,Applied Materials,samsung,Samsung Electronics,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_8,applied_materials,Applied Materials,micron,Micron,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_9,applied_materials,Applied Materials,ase,ASE Technology,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_10,lam_research,Lam Research,tsmc,TSMC,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_11,lam_research,Lam Research,sk_hynix,SK Hynix,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_12,lam_research,Lam Research,samsung,Samsung Electronics,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_13,lam_research,Lam Research,micron,Micron,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_14,lam_research,Lam Research,ase,ASE Technology,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_15,kla,KLA,tsmc,TSMC,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_16,kla,KLA,sk_hynix,SK Hynix,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_17,kla,KLA,samsung,Samsung Electronics,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_18,kla,KLA,micron,Micron,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_19,kla,KLA,ase,ASE Technology,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_20,tokyo_electron,Tokyo Electron,tsmc,TSMC,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_21,tokyo_electron,Tokyo Electron,sk_hynix,SK Hynix,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_22,tokyo_electron,Tokyo Electron,samsung,Samsung Electronics,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_23,tokyo_electron,Tokyo Electron,micron,Micron,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_24,tokyo_electron,Tokyo Electron,ase,ASE Technology,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_25,screen_semiconductor,SCREEN Semiconductor Solutions,tsmc,TSMC,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_26,screen_semiconductor,SCREEN Semiconductor Solutions,sk_hynix,SK Hynix,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_27,screen_semiconductor,SCREEN Semiconductor Solutions,samsung,Samsung Electronics,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_28,screen_semiconductor,SCREEN Semiconductor Solutions,micron,Micron,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_29,screen_semiconductor,SCREEN Semiconductor Solutions,ase,ASE Technology,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_30,asm_international,ASM International,tsmc,TSMC,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_31,asm_international,ASM International,sk_hynix,SK Hynix,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_32,asm_international,ASM International,samsung,Samsung Electronics,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_33,asm_international,ASM International,micron,Micron,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_34,asm_international,ASM International,ase,ASE Technology,supplies_to,0.78,src_ecosystem_mapping,,,,,,半导体制造设备供应晶圆制造、封装和存储生产链条。
p1_rel_35,tsmc,TSMC,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_36,tsmc,TSMC,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_37,tsmc,TSMC,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_38,tsmc,TSMC,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_39,tsmc,TSMC,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_40,tsmc,TSMC,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_41,sk_hynix,SK Hynix,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_42,sk_hynix,SK Hynix,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_43,sk_hynix,SK Hynix,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_44,sk_hynix,SK Hynix,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_45,sk_hynix,SK Hynix,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_46,sk_hynix,SK Hynix,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_47,samsung,Samsung Electronics,nvidia,NVIDIA,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_48,samsung,Samsung Electronics,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_49,samsung,Samsung Electronics,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_50,samsung,Samsung Electronics,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_51,samsung,Samsung Electronics,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_52,samsung,Samsung Electronics,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_53,samsung,Samsung Electronics,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_54,micron,Micron,nvidia,NVIDIA,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_55,micron,Micron,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_56,micron,Micron,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_57,micron,Micron,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_58,micron,Micron,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_59,micron,Micron,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_60,micron,Micron,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_61,ase,ASE Technology,nvidia,NVIDIA,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_62,ase,ASE Technology,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_63,ase,ASE Technology,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_64,ase,ASE Technology,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_65,ase,ASE Technology,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_66,ase,ASE Technology,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_67,ase,ASE Technology,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_68,globalfoundries,GlobalFoundries,nvidia,NVIDIA,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_69,globalfoundries,GlobalFoundries,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_70,globalfoundries,GlobalFoundries,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_71,globalfoundries,GlobalFoundries,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_72,globalfoundries,GlobalFoundries,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_73,globalfoundries,GlobalFoundries,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_74,globalfoundries,GlobalFoundries,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_75,umc,UMC,nvidia,NVIDIA,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_76,umc,UMC,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_77,umc,UMC,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_78,umc,UMC,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_79,umc,UMC,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_80,umc,UMC,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_81,umc,UMC,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_82,winbond,Winbond,nvidia,NVIDIA,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_83,winbond,Winbond,amd,AMD,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_84,winbond,Winbond,broadcom,Broadcom,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_85,winbond,Winbond,synopsys,Synopsys,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_86,winbond,Winbond,cadence,Cadence,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_87,winbond,Winbond,arm,Arm,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_88,winbond,Winbond,marvell,Marvell,supplies_to,0.76,src_ecosystem_mapping,,,,,,代工、封装和存储供应高性能 AI 芯片和加速器。
p1_rel_89,nvidia,NVIDIA,supermicro,Supermicro,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_90,nvidia,NVIDIA,arista,Arista Networks,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_91,nvidia,NVIDIA,dell,Dell Technologies,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_92,nvidia,NVIDIA,hpe,HPE,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_93,nvidia,NVIDIA,lenovo,Lenovo,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_94,nvidia,NVIDIA,quanta,Quanta Computer,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_95,amd,AMD,supermicro,Supermicro,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_96,amd,AMD,arista,Arista Networks,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_97,amd,AMD,dell,Dell Technologies,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_98,amd,AMD,hpe,HPE,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_99,amd,AMD,lenovo,Lenovo,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_100,amd,AMD,quanta,Quanta Computer,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_101,broadcom,Broadcom,supermicro,Supermicro,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_102,broadcom,Broadcom,arista,Arista Networks,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_103,broadcom,Broadcom,dell,Dell Technologies,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_104,broadcom,Broadcom,hpe,HPE,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_105,broadcom,Broadcom,lenovo,Lenovo,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_106,broadcom,Broadcom,quanta,Quanta Computer,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_107,synopsys,Synopsys,supermicro,Supermicro,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_108,synopsys,Synopsys,arista,Arista Networks,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_109,synopsys,Synopsys,dell,Dell Technologies,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_110,synopsys,Synopsys,hpe,HPE,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_111,synopsys,Synopsys,lenovo,Lenovo,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_112,synopsys,Synopsys,quanta,Quanta Computer,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_113,cadence,Cadence,supermicro,Supermicro,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_114,cadence,Cadence,arista,Arista Networks,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_115,cadence,Cadence,dell,Dell Technologies,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_116,cadence,Cadence,hpe,HPE,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_117,cadence,Cadence,lenovo,Lenovo,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_118,cadence,Cadence,quanta,Quanta Computer,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_119,arm,Arm,supermicro,Supermicro,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_120,arm,Arm,arista,Arista Networks,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_121,arm,Arm,dell,Dell Technologies,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_122,arm,Arm,hpe,HPE,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_123,arm,Arm,lenovo,Lenovo,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_124,arm,Arm,quanta,Quanta Computer,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_125,marvell,Marvell,supermicro,Supermicro,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_126,marvell,Marvell,arista,Arista Networks,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_127,marvell,Marvell,dell,Dell Technologies,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_128,marvell,Marvell,hpe,HPE,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
p1_rel_129,marvell,Marvell,lenovo,Lenovo,supplies_to,0.72,src_ecosystem_mapping,,,,,,AI 芯片、网络芯片和 IP 服务服务器和数据中心基础设施。
